,Unnamed: 0.13,Unnamed: 0.12,Unnamed: 0.11,Unnamed: 0.10,Unnamed: 0.9,Unnamed: 0.8,Unnamed: 0.7,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,level,power,date
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,571.5,2023-05-08
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,30,492.1,2023-05-08
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,30,578.5,2023-05-08
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,30,522.3,2023-05-08
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,30,493.2,2023-05-08
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,30,472.8,2023-05-08
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,30,457.4,2023-05-08
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,29,463.1,2023-05-08
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,29,326.3,2023-05-08
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,28,455.8,2023-05-08
10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,27,292.5,2023-05-08
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,25,226.7,2023-05-08
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,24,184.4,2023-05-08
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,27,421.6,2023-05-08
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,27,394.7,2023-05-08
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,29,415.0,2023-05-08
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,29,397.6,2023-05-08
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,28,383.3,2023-05-08
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,27,349.4,2023-05-08
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,30,387.9,2023-05-08
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,27,385.2,2023-05-08
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,30,494.8,2023-05-08
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,25,306.7,2023-05-08
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,29,355.7,2023-05-08
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,25,274.3,2023-05-08
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,298.3,2023-05-08
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,28,427.7,2023-05-08
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,28,312.0,2023-05-08
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,24,208.8,2023-05-08
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,28,351.0,2023-05-08
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,27,385.9,2023-05-08
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,21,204.0,2023-05-08
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,26,362.1,2023-05-08
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,28,293.3,2023-05-08
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,25,222.4,2023-05-08
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,28,321.4,2023-05-08
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,26,425.7,2023-05-08
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,25,213.0,2023-05-08
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,26,346.6,2023-05-08
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,28,431.7,2023-05-08
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,24,220.7,2023-05-08
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,23,182.0,2023-05-08
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,27,258.2,2023-05-08
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,21,244.6,2023-05-08
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,26,306.8,2023-05-08
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,19,97.3,2023-05-08
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,18,48.3,2023-05-08
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,20,169.7,2023-05-08
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,25,342.2,2023-05-08
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,26,268.6,2023-05-08
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,26,370.1,2023-05-08
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,28,328.0,2023-05-08
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,26,312.5,2023-05-08
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,28,276.6,2023-05-08
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,30,437.9,2023-05-08
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,26,357.9,2023-05-08
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,27,405.6,2023-05-08
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,25,269.8,2023-05-08
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,25,167.0,2023-05-08
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,25,270.3,2023-05-08
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,27,289.4,2023-05-08
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,22,126.4,2023-05-08
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,27,326.6,2023-05-08
